"","words","count"
"1","thanks for the follow","641"
"2","the end of the","492"
"3","the rest of the","447"
"4","at the end of","428"
"5","for the first time","415"
"6","is going to be","379"
"7","at the same time","368"
"8","thanks for the rt","337"
"9","cant wait to see","333"
"10","thank you for the","311"
