"input_clean" "Freq"
"324" "second" 602
"325" "working" 599
"326" "face" 594
"327" "black" 593
"328" "means" 590
"329" "call" 588
"330" "reading" 588
"331" "bad" 587
"332" "idea" 585
"333" "seen" 578
"334" "6" 577
"335" "nice" 577
"336" "ã" 575
"337" "asked" 572
"338" "friend" 572
"339" "money" 570
"340" "women" 570
"341" "weeks" 568
"342" "state" 566
"343" "couple" 565
"344" "become" 563
"345" "rather" 563
"346" "light" 560
"347" "oh" 555
"348" "job" 549
"349" "card" 542
"350" "run" 539
"351" "half" 538
"352" "else" 536
"353" "city" 535
"354" "canâ" 533
"355" "case" 533
"356" "sometimes" 533
"357" "felt" 531
"358" "cut" 530
"359" "weâ" 527
"360" "young" 527
"361" "beautiful" 526
"362" "knew" 524
"363" "seems" 524
"364" "word" 523
"365" "early" 522
"366" "film" 522
"367" "line" 522
"368" "hours" 521
"369" "play" 520
"370" "share" 520
"371" "taking" 519
"372" "order" 518
"373" "important" 513
"374" "please" 511
"375" "body" 509
"376" "saw" 509
"377" "coming" 507
"378" "living" 506
"379" "several" 505
"380" "music" 504
"381" "8" 503
"382" "child" 503
"383" "instead" 503
"384" "7" 500
"385" "group" 498
"386" "month" 498
"387" "stop" 494
"388" "either" 493
"389" "finally" 493
"390" "mean" 492
"391" "mother" 491
"392" "leave" 490
"393" "open" 490
"394" "write" 490
"395" "beer" 488
"396" "true" 487
"397" "public" 486
"398" "number" 484
"399" "paper" 484
"400" "anyone" 482
"401" "favorite" 481
"402" "party" 481
"403" "says" 481
"404" "given" 480
"405" "self" 480
"406" "care" 476
"407" "thinking" 476
"408" "experience" 473
"409" "short" 473
"410" "months" 468
"411" "easy" 466
"412" "woman" 466
"413" "country" 463
"414" "especially" 463
"415" "matter" 463
"416" "men" 460
"417" "needed" 458
"418" "sense" 455
"419" "business" 453
"420" "red" 452
"421" "eyes" 451
"422" "power" 450
"423" "soon" 447
"424" "weekend" 447
"425" "local" 444
"426" "game" 443
"427" "list" 441
"428" "although" 440
"429" "enjoy" 439
"430" "special" 439
"431" "girl" 438
"432" "movie" 438
"433" "four" 436
"434" "american" 435
"435" "mom" 435
"436" "problem" 435
"437" "talk" 435
"438" "perhaps" 434
"439" "rest" 434
"440" "understand" 434
"441" "art" 433
"442" "baby" 433
"443" "looked" 433
"444" "turn" 433
"445" "within" 429
"446" "ask" 427
"447" "close" 426
"448" "doesnâ" 426
"449" "heard" 426
"450" "feeling" 425
"451" "stuff" 425
"452" "human" 424
"453" "hear" 423
"454" "reason" 421
"455" "30" 420
"456" "above" 419
"457" "behind" 418
"458" "perfect" 418
"459" "whether" 418
"460" "car" 417
"461" "front" 414
"462" "wait" 414
"463" "20" 413
"464" "christmas" 413
"465" "saying" 413
"466" "challenge" 412
"467" "including" 410
"468" "lives" 410
"469" "ready" 410
"470" "large" 407
"471" "wrong" 407
"472" "12" 406
"473" "lost" 405
"474" "known" 404
"475" "news" 404
"476" "across" 402
"477" "information" 402
"478" "bring" 401
"479" "thank" 401
"480" "gave" 399
"481" "ones" 399
"482" "picture" 399
"483" "question" 399
"484" "wonderful" 399
"485" "parents" 398
"486" "summer" 398
"487" "team" 398
"488" "based" 397
"489" "government" 397
"490" "taken" 397
"491" "moment" 396
"492" "project" 395
"493" "inside" 394
"494" "system" 394
"495" "loved" 392
"496" "eat" 390
"497" "check" 388
"498" "five" 387
"499" "support" 385
"500" "turned" 385
"501" "yourself" 385
"502" "series" 384
"503" "tried" 384
"504" "outside" 382
"505" "simply" 382
"506" "simple" 381
"507" "store" 380
"508" "9" 378
"509" "history" 378
"510" "plan" 378
"511" "possible" 378
"512" "needs" 377
"513" "piece" 377
"514" "added" 376
"515" "heâ" 376
"516" "move" 376
"517" "jesus" 375
"518" "walk" 375
"519" "company" 374
"520" "character" 373
"521" "goes" 373
"522" "usually" 373
"523" "buy" 372
"524" "doesn" 372
"525" "stay" 371
"526" "class" 370
"527" "watch" 369
"528" "gets" 367
"529" "late" 367
"530" "running" 367
"531" "law" 366
"532" "church" 365
"533" "green" 365
"534" "themselves" 365
"535" "amazing" 363
"536" "cannot" 363
"537" "song" 361
"538" "learn" 359
"539" "age" 358
"540" "following" 358
"541" "visit" 358
"542" "area" 357
"543" "works" 356
"544" "15" 355
"545" "community" 355
"546" "thereâ" 354
"547" "husband" 353
"548" "longer" 353
"549" "guy" 352
"550" "space" 352
"551" "talking" 352
"552" "upon" 352
"553" "looks" 350
"554" "sweet" 348
"555" "won" 348
"556" "seem" 347
"557" "future" 346
"558" "theyâ" 344
"559" "create" 343
"560" "process" 343
"561" "stories" 343
"562" "interesting" 342
"563" "single" 342
"564" "guess" 341
"565" "anyway" 340
"566" "characters" 340
"567" "cool" 339
"568" "death" 339
"569" "ways" 339
"570" "clear" 338
"571" "form" 338
"572" "himself" 338
"573" "etc" 337
"574" "began" 334
"575" "hot" 334
"576" "recently" 334
"577" "000" 333
"578" "son" 332
"579" "color" 331
"580" "students" 331
"581" "bed" 330
"582" "health" 330
"583" "pictures" 329
"584" "season" 329
"585" "dark" 328
"586" "hands" 328
"587" "playing" 328
"588" "whatever" 328
"589" "door" 327
"590" "example" 327
"591" "town" 327
"592" "alone" 326
"593" "due" 326
"594" "social" 326
"595" "gone" 325
"596" "happened" 325
"597" "fall" 324
"598" "lots" 324
"599" "non" 324
"600" "south" 324
"601" "available" 323
"602" "continue" 322
"603" "style" 322
"604" "mr" 321
"605" "blue" 320
"606" "pay" 320
"607" "takes" 320
"608" "2012" 319
"609" "huge" 317
"610" "11" 316
"611" "deal" 316
"612" "forward" 316
"613" "hour" 316
"614" "completely" 315
"615" "lord" 315
"616" "media" 315
"617" "exactly" 314
"618" "page" 314
"619" "control" 313
"620" "father" 313
"621" "boy" 312
"622" "spent" 312
"623" "john" 311
"624" "girls" 310
"625" "level" 310
"626" "e" 309
"627" "hair" 309
"628" "design" 308
"629" "hit" 308
"630" "spend" 308
"631" "strong" 307
"632" "wasn" 307
"633" "worked" 307
"634" "written" 307
"635" "thanks" 306
"636" "happen" 305
"637" "hold" 305
"638" "itself" 305
"639" "chance" 303
"640" "note" 302
"641" "view" 302
"642" "york" 302
"643" "national" 300
"644" "follow" 299
"645" "yesterday" 299
"646" "dinner" 297
"647" "phone" 297
"648" "war" 297
"649" "created" 296
"650" "personal" 296
"651" "sound" 296
"652" "isnâ" 295
"653" "worth" 293
"654" "air" 292
"655" "cover" 291
"656" "lovely" 291
