"","words","count"
"1","of the","25513"
"2","in the","24631"
"3","to the","13582"
"4","for the","13577"
"5","on the","12723"
"6","to be","11795"
"7","at the","8933"
"8","i have","7902"
"9","and the","7889"
"10","and i","7618"
