"","words","count"
"1","at the end of the","245"
"2","in the middle of the","129"
"3","thank you so much for","111"
"4","for the first time in","110"
"5","thanks for the shout out","89"
"6","cant wait to see you","85"
"7","is going to be a","82"
"8","let me know if you","80"
"9","the end of the day","80"
"10","i love you so much","80"
