input_clean Freq
462 course 391
463 forget 391
464 story 391
465 learn 390
466 lost 390
467 room 390
468 la 388
469 sometimes 388
470 dinner 387
471 join 387
472 okay 385
473 waiting 385
474 listening 383
475 12 381
476 black 381
477 break 378
478 media 378
479 super 378
480 women 378
481 cute 377
482 meeting 376
483 half 375
484 fucking 372
485 perfect 372
486 wonder 370
487 20 368
488 called 368
489 rock 368
490 definitely 367
491 interesting 366
492 state 362
493 came 361
494 games 361
495 saying 361
496 hahaha 359
497 agree 357
498 boy 355
499 line 353
500 started 353
501 told 352
502 during 351
503 weather 350
504 question 347
505 goes 346
506 text 346
507 red 345
508 drink 343
509 tickets 343
510 move 342
511 chicago 341
512 tired 341
513 bout 340
514 point 340
515 problem 340
516 white 339
517 words 339
518 walk 338
519 minutes 337
520 seriously 337
521 list 336
522 totally 335
523 later 332
524 less 330
525 took 329
526 beer 327
527 online 326
528 loved 325
529 starting 325
530 moment 324
531 sick 324
532 future 323
533 missed 323
534 pick 322
535 thats 322
536 between 321
537 e 321
538 lots 321
539 means 321
540 weeks 321
541 leave 320
542 ago 319
543 austin 317
544 dog 317
545 1st 315
546 chance 314
547 gone 314
548 stupid 314
549 happen 312
550 men 312
551 wants 312
552 mother 311
553 outside 311
554 seems 311
555 yea 308
556 bit 307
557 running 307
558 ugh 307
559 worth 307
560 yo 307
561 wanted 306
562 writing 306
563 each 305
564 using 305
565 bar 304
566 close 304
567 comes 303
568 different 303
569 office 302
570 college 301
571 listen 301
572 past 301
573 woman 301
574 page 299
575 share 299
576 town 299
577 dance 297
578 site 297
579 st 296
580 power 294
581 either 292
582 number 292
583 rain 291
584 second 291
585 service 291
586 sound 291
587 visit 291
588 wonderful 291
589 ill 290
590 15 289
591 beat 289
592 busy 288
593 hello 288
594 info 288
595 ah 287
596 dream 287
597 under 287
598 till 286
599 christmas 285
600 dm 285
601 fall 285
602 rest 285
603 mine 284
604 students 284
605 100 283
606 drive 282
607 others 282
608 park 282
609 turn 282
610 art 281
611 yay 281
612 easy 280
613 three 279
614 young 279
615 boys 278
616 proud 277
617 blog 276
618 able 275
619 against 275
620 kid 275
621 shows 275
622 reason 273
623 store 273
624 wasn 272
625 website 270
626 green 269
627 side 269
628 thx 269
629 huge 268
630 account 267
631 spring 267
632 voice 267
633 film 266
634 fine 266
635 pay 266
636 plan 266
637 ain 265
638 ppl 264
639 trip 264
640 x 264
641 appreciate 263
642 î 263
643 order 263
644 dad 262
645 sign 262
646 date 261
647 vs 261
648 dear 260
649 body 259
650 american 258
651 conference 258
652 final 258
653 matter 257
654 bet 256
655 cold 256
656 ff 255
657 knew 255
658 lets 255
659 deal 254
660 nyc 253
661 em 252
662 everybody 252
663 instead 252
664 mad 252
665 google 251
666 radio 249
667 success 248
668 app 247
669 giving 246
670 history 246
671 series 246
672 weird 246
673 write 246
674 anymore 245
675 eyes 245
676 fight 245
677 thursday 245
678 understand 245
679 mention 244
680 wine 244
681 books 243
682 club 242
683 small 242
684 via 241
685 _ 240
686 eating 240
687 fire 240
688 single 240
689 hopefully 239
690 john 239
691 tweeting 239
692 water 239
693 dead 238
694 library 238
695 shout 238
696 50 237
697 beach 237
698 catch 237
699 fact 237
700 couple 236
701 die 236
702 light 236
703 street 236
704 ones 235
705 smile 235
706 san 234
707 company 233
708 forever 233
709 moving 233
710 couldn 232
711 fast 232
712 lose 232
713 project 232
714 short 232
715 experience 231
716 picture 231
717 aren 230
718 finished 229
719 hand 229
720 tho 229
721 brother 228
722 group 228
723 lady 227
724 shirt 227
725 vegas 226
726 behind 225
727 cuz 225
728 lucky 225
729 living 224
730 pic 224
731 shot 224
732 dc 223
733 feels 223
734 front 223
735 add 222
736 local 222
737 starts 222
738 sucks 222
739 vote 222
740 band 220
741 followed 220
742 safe 220
743 0 219
744 blue 219
745 bored 219
746 especially 218
747 message 218
748 album 217
749 ball 217
750 cut 217
751 star 217
752 dreams 216
753 happened 216
754 sun 216
755 children 215
756 loves 215
757 become 214
758 center 214
759 important 214
760 ride 214
761 songs 214
762 country 213
763 pm 213
764 public 213
765 record 212
766 gave 211
767 opening 211
768 sent 211
769 smh 211
770 son 211
771 concert 210
772 hoping 210
773 loving 210
774 self 210
775 tour 210
776 football 209
777 pass 209
778 sharing 209
779 april 208
780 area 208
781 da 208
782 fb 208
783 met 208
784 tuesday 208
785 works 208
786 alone 207
787 available 207
788 gift 207
789 shoot 207
790 worst 207
791 kinda 206
792 parents 205
793 sex 205
794 stand 205
795 takes 205
796 g 204
797 ice 204
798 wouldn 204
799 case 203
800 hold 203
801 learning 203
802 link 203
803 answer 202
804 breakfast 202
805 sports 202
806 tried 202
807 whats 202
808 air 201
809 session 201
810 sexy 201
811 sitting 201
812 wit 201
813 exactly 200
814 knows 200
815 nigga 200
816 k 199
817 march 199
818 pizza 199
819 speak 199
820 hurt 198
821 jobs 198
822 kill 198
823 mr 198
824 suck 198
825 america 197
826 asked 197
827 heat 197
828 interview 197
829 justin 197
830 law 197
831 card 196
832 congratulations 196
833 interested 196
834 june 196
835 plans 196
836 forgot 195
837 ideas 195
838 test 195
839 enjoyed 194
840 ladies 194
841 paper 194
842 road 194
843 wearing 194
844 act 193
845 heading 193
846 marketing 193
847 often 193
848 internet 191
849 iphone 191
850 absolutely 190
851 episode 190
852 folks 190
853 movies 190
854 national 190
855 snow 190
856 cannot 189
857 door 189
858 goal 189
859 hands 189
860 watched 189
861 tip 188
862 community 187
863 l 187
864 lil 187
865 chocolate 186
866 missing 186
867 strong 186
868 wear 186
869 yep 186
870 afternoon 185
871 death 185
872 mt 185
873 trust 185
874 cover 184
875 obama 184
876 played 184
877 rather 184
878 thoughts 184
879 bought 183
880 design 183
881 happens 183
882 wtf 183
883 health 182
884 holiday 182
885 retweet 182
886 save 182
887 25 181
888 fat 181
889 lead 181
890 quite 181
891 straight 181
892 gay 180
893 shut 180
894 wife 180
895 along 179
896 driving 179
897 quick 179
898 walking 179
899 yours 179
900 sense 178
901 wednesday 178
902 months 177
903 pictures 177
904 program 177
905 round 177
906 truth 177
907 co 176
908 enjoying 176
909 laugh 176
910 2nd 175
911 building 175
912 king 175
913 data 174
914 gym 174
915 personal 174
916 possible 173
917 bill 172
918 cheese 172
919 drop 172
920 hang 172
921 inside 172
922 market 172
923 west 172
924 contact 171
925 drinking 171
926 million 171
927 realize 171
928 2011 170
929 miami 170
930 ny 170
931 somebody 170
932 boyfriend 169
933 bus 169
934 child 169
935 release 169
936 aw 168
937 awkward 168
938 f 168
939 spend 168
940 coach 167
941 details 167
942 finish 167
943 questions 167
944 sister 167
945 til 167
946 xd 167
947 btw 166
948 sale 166
949 easter 165
950 extra 165
951 mike 165
952 shop 165
953 studio 165
954 teacher 165
955 wake 165
956 cream 164
957 jealous 164
958 mothers 164
959 peace 164
960 singing 164
961 woke 164
962 chris 163
963 exciting 163
964 jesus 163
965 photo 163
966 sat 163
967 south 163
968 training 163
969 choice 162
970 needed 162
971 nobody 162
972 practice 162
973 winning 162
974 cake 161
975 due 161
976 energy 161
977 eye 161
978 pain 161
979 advice 160
980 church 160
981 minute 160
982 space 160
983 texas 160
984 shopping 159
985 web 159
986 computer 158
987 difference 158
988 double 158
989 fantastic 158
990 four 158
991 fresh 158
992 looked 158
993 plus 158
994 serious 158
995 sit 158
996 tech 158
997 artist 157
998 cat 157
999 slow 157
1000 worse 157
1001 000 156
1002 hungry 156
1003 touch 156
1004 whatever 156
1005 article 155
1006 celebrate 155
1007 downtown 155
1008 events 155
1009 gives 155
1010 lord 155
1011 low 155
1012 respect 155
1013 track 155
1014 five 154
1015 holy 154
1016 issue 154
1017 nfl 154
1018 sing 154
1019 sir 154
1020 student 154
1021 13 153
1022 attention 153
1023 middle 153
1024 basketball 152
1025 mobile 152
1026 putting 152
1027 baseball 151
1028 lives 151
1029 truly 151
1030 type 151
1031 boo 150
1032 brand 150
1033 chicken 150
1034 drinks 150
1035 fair 150
1036 meant 150
1037 paul 150
1038 pics 150
1039 planning 150
1040 tough 150
1041 agreed 149
1042 boston 149
1043 calling 149
1044 figure 149
1045 lakers 149
1046 north 149
1047 de 148
1048 fly 148
1049 joke 148
1050 officially 148
1051 performance 148
1052 quote 148
1053 smart 148
1054 tea 148
1055 videos 148
1056 24 147
1057 human 147
1058 research 147
1059 board 146
1060 buddy 146
1061 cry 146
1062 everyday 146
1063 j 146
1064 kick 146
1065 near 146
1066 40 145
1067 based 145
1068 bitches 145
1069 changed 145
1070 count 145
1071 etc 145
1072 evening 145
1073 mark 145
1074 posted 145
1075 rip 145
1076 supposed 145
1077 brown 144
1078 daily 144
1079 hm 144
1080 player 144
1081 study 144
1082 youtube 144
1083 clean 143
1084 complete 143
1085 crap 143
1086 draft 143
1087 grow 143
1088 hilarious 143
1089 level 143
1090 president 143
1091 spot 143
1092 tuned 143
1093 asking 142
1094 hearing 142
1095 homework 142
1096 likes 142
1097 players 142
1098 race 142
1099 step 142
1100 style 142
1101 dark 141
1102 entire 141
1103 idk 141
1104 leaving 141
1105 seem 141
1106 spent 141
1107 worked 141
1108 york 141
1109 21 140
1110 3rd 140
1111 box 140
1112 content 140
1113 david 140
1114 dr 140
1115 annoying 139
1116 broke 139
1117 key 139
1118 lovely 139
1119 network 139
1120 positive 139
1121 system 139
1122 workout 139
1123 cc 138
1124 education 138
1125 headed 138
1126 information 138
1127 james 138
1128 learned 138
1129 lie 138
1130 seattle 138
1131 stage 138
1132 throw 138
1133 um 138
1134 warm 138
1135 worry 138
1136 age 137
1137 apparently 137
1138 apple 137
1139 deep 137
1140 imagine 137
1141 note 137
1142 piece 137
1143 realized 137
1144 sell 137
1145 talent 137
1146 wedding 137
1147 calls 136
1148 dress 136
1149 issues 136
1150 soul 136
1151 ways 136
1152 caught 135
1153 field 135
1154 nap 135
1155 train 135
1156 usually 135
1157 ahead 134
1158 anyway 134
1159 control 134
1160 didnt 134
1161 mouth 134
1162 notice 134
1163 showing 134
1164 create 133
1165 cup 133
1166 daughter 133
1167 digital 133
1168 east 133
1169 gorgeous 133
1170 wondering 133
1171 bowl 132
1172 breaking 132
1173 denver 132
1174 earth 132
1175 secret 132
1176 ugly 132
1177 4th 131
1178 goodnight 131
1179 healthy 131
1180 joe 131
1181 ticket 131
1182 v 131
1183 16 130
1184 longer 130
1185 mail 130
1186 milwaukee 130
1187 quality 130
1188 shouldn 130
1189 sleeping 130
1190 speaking 130
1191 terrible 130
1192 bunch 129
1193 conversation 129
1194 lately 129
1195 lmfao 129
1196 major 129
1197 non 129
1198 official 129
1199 poor 129
1200 problems 129
1201 reality 129
1202 telling 129
1203 yall 129
1204 dj 128
1205 hanging 128
1206 random 128
1207 roll 128
1208 action 127
1209 brewers 127
1210 expect 127
1211 fake 127
1212 fam 127
1213 florida 127
1214 focus 127
1215 luv 127
1216 q 127
1217 relationship 127
1218 soo 127
1219 swear 127
1220 thru 127
1221 tune 127
1222 update 127
1223 wins 127
1224 18 126
1225 biggest 126
1226 career 126
1227 freaking 126
1228 goin 126
1229 helping 126
1230 liked 126
1231 ma 126
1232 traffic 126
1233 wall 126
1234 winter 126
1235 anybody 125
1236 blessed 125
1237 drunk 125
1238 happening 125
1239 league 125
1240 classes 124
1241 finding 124
1242 ipad 124
1243 nba 124
1244 offer 124
1245 reply 124
1246 build 123
1247 mac 123
1248 pop 123
1249 review 123
1250 steve 123
1251 turned 123
1252 14 122
1253 boring 122
1254 chat 122
1255 direction 122
1256 dumb 122
1257 july 122
1258 taste 122
1259 twice 122
1260 vacation 122
1261 00 121
1262 alive 121
1263 booth 121
1264 code 121
1265 decided 121
1266 excellent 121
1267 hall 121
1268 reach 121
1269 report 121
1270 shoutout 121
1271 smell 121
1272 stuck 121
1273 war 121
1274 alright 120
1275 bag 120
1276 felt 120
1277 fix 120
1278 keeps 120
1279 min 120
1280 per 120
1281 travel 120
1282 choose 119
1283 completely 119
1284 dallas 119
1285 doubt 119
1286 festival 119
1287 houston 119
1288 shoes 119
1289 version 119
1290 yr 119
1291 cheers 118
1292 died 118
1293 price 118
1294 search 118
1295 table 118
1296 17 117
1297 brain 117
1298 brought 117
1299 clothes 117
1300 commercial 117
1301 delicious 117
1302 hotel 117
1303 mood 117
1304 taken 117
1305 treat 117
1306 yup 117
1307 across 116
1308 aww 116
1309 bay 116
1310 beauty 116
1311 huh 116
1312 nights 116
1313 schedule 116
1314 signed 116
1315 teams 116
1316 color 115
1317 contest 115
1318 opportunity 115
1319 bike 114
1320 credit 114
1321 crying 114
1322 decision 114
1323 except 114
1324 given 114
1325 period 114
1326 press 114
1327 ryan 114
1328 staff 114
1329 unless 114
1330 winner 114
1331 award 113
1332 boss 113
1333 dick 113
1334 flight 113
1335 killed 113
1336 trouble 113
1337 awake 112
1338 born 112
1339 broken 112
1340 fashion 112
1341 judge 112
1342 michael 112
1343 pleasure 112
1344 pull 112
1345 simple 112
1346 total 112
1347 wishing 112
1348 fail 111
1349 floor 111
1350 members 111
1351 process 111
1352 profile 111
1353 wont 111
1354 aint 110
1355 asleep 110
1356 begin 110
1357 feet 110
1358 keeping 110
1359 main 110
1360 score 110
1361 ate 109
1362 blast 109
1363 bye 109
1364 ex 109
1365 niggas 109
1366 tom 109
1367 tweeted 109
1368 address 108
1369 creative 108
1370 dancing 108
1371 honestly 108
1372 mix 108
1373 pants 108
1374 product 108
1375 return 108
1376 sending 108
1377 uh 108
1378 fear 107
1379 guest 107
1380 original 107
1381 paid 107
1382 points 107
1383 stories 107
1384 customer 106
1385 diego 106
1386 hurts 106
1387 moms 106
1388 philly 106
1389 pre 106
1390 surprise 106
1391 surprised 106
1392 7pm 105
1393 bc 105
1394 dat 105
1395 greatest 105
1396 literally 105
1397 mama 105
1398 match 105
1399 sold 105
1400 uk 105
1401 yum 105
1402 acting 104
1403 afraid 104
1404 cards 104
1405 english 104
1406 father 104
1407 fuckin 104
1408 horrible 104
1409 loud 104
1410 magic 104
1411 mall 104
