"","words","count"
"1","thanks for the","2383"
"2","one of the","2055"
"3","a lot of","1980"
"4","i want to","1366"
"5","to be a","1280"
"6","going to be","1246"
"7","thank you for","1070"
"8","i don t","1069"
"9","looking forward to","1033"
"10","i have a","1009"
